ip_start,ip_end,long_ip_start,long_ip_end,country,province
1.0.1.0,1.0.3.255,16777472,16778239,中国,福建
1.0.8.0,1.0.15.255,16779264,16781311,中国,广东
1.0.32.0,1.0.63.255,16785408,16793599,中国,广东
1.1.0.0,1.1.0.255,16842752,16843007,中国,福建
1.1.2.0,1.1.7.255,16843264,16844799,中国,福建
1.1.8.0,1.1.63.255,16844800,16859135,中国,广东
1.2.0.0,1.2.1.255,16908288,16908799,中国,福建
1.2.2.0,1.2.2.255,16908800,16909055,中国,北京
1.2.4.0,1.2.4.255,16909312,16909567,中国,北京
1.2.5.0,1.2.7.255,16909568,16910335,中国,福建
1.2.8.0,1.2.8.255,16910336,16910591,中国,北京
1.2.9.0,1.2.127.255,16910592,16941055,中国,广东
1.3.0.0,1.3.255.255,16973824,17039359,中国,广东
1.4.1.0,1.4.3.255,17039616,17040383,中国,福建
1.4.4.0,1.4.4.255,17040384,17040639,中国,北京
1.4.5.0,1.4.7.255,17040640,17041407,中国,福建
1.4.8.0,1.4.127.255,17041408,17072127,中国,广东
1.8.0.0,1.8.255.255,17301504,17367039,中国,北京
1.10.0.0,1.10.7.255,17432576,17434623,中国,广东
1.10.8.0,1.10.9.255,17434624,17435135,中国,福建
1.10.11.0,1.10.15.255,17435392,17436671,中国,福建
1.10.16.0,1.10.127.255,17436672,17465343,中国,广东
1.12.0.0,1.12.255.255,17563648,17629183,中国,北京
1.13.0.0,1.13.71.255,17629184,17647615,中国,吉林
1.13.72.0,1.13.87.255,17647616,17651711,中国,吉林
1.13.88.0,1.13.95.255,17651712,17653759,中国,吉林
1.13.96.0,1.13.127.255,17653760,17661951,中国,天津
1.13.128.0,1.13.191.255,17661952,17678335,中国,吉林
1.13.192.0,1.14.95.255,17678336,17719295,中国,辽宁
1.14.96.0,1.14.127.255,17719296,17727487,中国,辽宁
1.14.128.0,1.14.191.255,17727488,17743871,中国,上海
1.14.192.0,1.14.223.255,17743872,17752063,中国,吉林
1.14.224.0,1.14.255.255,17752064,17760255,中国,天津
1.15.0.0,1.15.119.255,17760256,17790975,中国,北京
1.15.120.0,1.15.127.255,17790976,17793023,中国,天津
1.15.128.0,1.15.159.255,17793024,17801215,中国,北京
1.15.160.0,1.15.167.255,17801216,17803263,中国,天津
1.15.168.0,1.15.207.255,17803264,17813503,中国,北京
1.15.208.0,1.15.223.255,17813504,17817599,中国,辽宁
1.15.224.0,1.15.255.255,17817600,17825791,中国,天津
1.24.0.0,1.24.7.255,18350080,18352127,中国,内蒙古
1.24.8.0,1.24.15.255,18352128,18354175,中国,内蒙古
1.24.16.0,1.24.31.255,18354176,18358271,中国,内蒙古
1.24.32.0,1.24.39.255,18358272,18360319,中国,内蒙古
1.24.40.0,1.24.63.255,18360320,18366463,中国,内蒙古
1.24.64.0,1.24.79.255,18366464,18370559,中国,内蒙古
1.24.80.0,1.24.95.255,18370560,18374655,中国,内蒙古
1.24.96.0,1.24.127.255,18374656,18382847,中国,内蒙古
1.24.128.0,1.24.135.255,18382848,18384895,中国,内蒙古
1.24.136.0,1.24.147.255,18384896,18387967,中国,内蒙古
1.24.148.0,1.24.159.255,18387968,18391039,中国,内蒙古
1.24.160.0,1.24.183.255,18391040,18397183,中国,内蒙古
1.24.184.0,1.24.187.255,18397184,18398207,中国,内蒙古
1.24.188.0,1.24.191.255,18398208,18399231,中国,内蒙古
1.24.192.0,1.24.199.255,18399232,18401279,中国,内蒙古
1.24.200.0,1.24.215.255,18401280,18405375,中国,内蒙古
